Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
2014777564,01-14-59,01/01/2014,01-January,4-Wednesday,11:00,1100 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,,E 32ND ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, opposite direction",Lost Control,None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,3,,POINT (-90.675252229144 42.53223022398)
2014778237,14-000050,01/01/2014,01-January,4-Wednesday,09:53,0900 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,I-29,I-29,Non-collision events:  Overturn/rollover,Median,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Ice/frost,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,5000,1,2,,POINT (-95.907812577217 41.268541391803)
2014777236,2014000034,01/01/2014,01-January,4-Wednesday,16:15,1600 Hours,District 6 (East Central),IOWA CITY,JOHNSON,I-80,I-80,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,15000,2,3,,POINT (-91.546396391177 41.685749519941)
2014777239,201400057,01/01/2014,01-January,4-Wednesday,21:50,2100 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,,EASTERN AVE NE,Collision with:  Parked motor vehicle,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,,Dark - roadway lighted,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,13000,2,1,,POINT (-91.648017745146 42.005167323647)
2014778615,2014000027,01/01/2014,01-January,4-Wednesday,06:38,0600 Hours,District 1 (Central),,JASPER,I-80,I-80,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,12000,1,1,,POINT (-93.144905238006 41.683457614922)
2014776964,20140000071,01/01/2014,01-January,4-Wednesday,16:50,1600 Hours,District 1 (Central),DES MOINES,POLK,,42ND ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, opposite direction",Exceeded authorized speed,None Indicated,,Dusk,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,,POINT (-93.675330843546 41.630314226893)
2014777775,14-000006,01/01/2014,01-January,4-Wednesday,10:55,1000 Hours,District 1 (Central),JOHNSTON,POLK,,NW 70 AVE & NW 100TH ST & NW 70TH AVE,Collision with fixed object:  Ditch,Outside trafficway,Non-collision (single vehicle),Ran off road - right,Refused,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,,POINT (-93.755796875314 41.688350544105)
2014776650,20140000036,01/01/2014,01-January,4-Wednesday,09:45,0900 Hours,District 1 (Central),DES MOINES,POLK,I-235,I-235 & 5TH AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Lost Control,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,13000,2,2,,POINT (-93.624647020145 41.595787943234)
2014776652,20140000050,01/01/2014,01-January,4-Wednesday,12:56,1200 Hours,District 1 (Central),DES MOINES,POLK,,PAYNE RD & 30TH ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,,POINT (-93.658563027738 41.620062257974)
2014777421,2014000108,01/01/2014,01-January,4-Wednesday,12:43,1200 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,I-80,I-80,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,12187,1,7,,POINT (-95.778321619346 41.289970676902)
