X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10608515.9861,5190497.7351,500001,20160918447,1549092,20160918447,67,F,IA,1,-77.0,1,77,1,1,6,18,2,1,2001,FORD,RANGER,PK,IA,1,1,6,11,1,20,20,55,1,28,13,5,4,42,1,8,1,,0,2016,310274,4674178,,,,,,,2024/08/09 13:53:33+00,,{A05C8817-7C5F-4637-82A0-CD149B311BEE}
-10202262.5157,5175204.6959,500002,20160918448,1549093,20160918448,37,M,IA,1,0.0,3,98,7,1,6,15,3,1,2004,Cadillac,Escalade ESV,4W,IA,1,98,3,57,6,1,57,55,1,18,11,2,5,42,1,1,1,,0,2016,611764,4661196,,,,,,,2024/08/09 13:53:33+00,,{1693D3FD-ADD1-4C81-95AD-0F03249F7633}
-10567722.2034,5119313.4581,500003,20160918449,1549094,20160918449,55,F,IA,77,-77.0,1,77,1,7,50,77,4,1,2007,Chrysler,Town & Count,SV,IA,1,1,33,77,77,77,33,25,1,28,12,1,5,52,2,8,6,,0,2016,339341,4620629,,,,,,,2024/08/09 13:53:33+00,,{FCCD6C63-98AC-4A7A-8804-55706CE3FB31}
-10567722.2034,5119313.4581,500004,20160918449,1549095,20160918449,27,F,IA,77,-77.0,1,77,1,7,50,77,1,1,2004,Ford,Taurus SES,4D,IA,3,1,33,77,77,77,33,20,4,28,8,3,5,52,2,8,6,,0,2016,339341,4620629,,,,,,,2024/08/09 13:53:33+00,,{B1258FB5-27A7-4768-B6CF-D53CB63CB27D}
-10190674.3957,5021207.2462,500005,20160918450,1549096,20160918450,47,M,IA,77,-77.0,77,77,1,1,88,77,1,77,2010,Honda,Civic Dx Vp,4D,IA,2,1,77,77,77,77,77,777,1,28,77,77,5,1,1,8,11,,0,2016,622310,4546447,,,,,,,2024/08/09 13:53:33+00,,{7A83AF08-0171-493A-AD14-E1B1ADB703DB}
-10203894.0621,5158269.9998,500006,20160918451,1549097,20160918451,61,M,IA,77,-77.0,77,77,77,77,99,77,99,77,7777,NR,NR,NR,XX,1,99,77,77,77,77,77,777,77,28,77,77,5,71,77,8,77,,0,2016,610748,4648632,,,,,,,2024/08/09 13:53:33+00,,{91AEC356-2F94-4055-A035-D751D0E0AE8D}
-10203894.0621,5158269.9998,500007,20160918451,1549098,20160918451,200,M,XX,77,-77.0,77,77,77,77,99,77,99,77,7777,NR,NR,NR,XX,1,99,77,77,77,77,77,777,77,28,77,77,5,71,77,8,77,,0,2016,610748,4648632,,,,,,,2024/08/09 13:53:33+00,,{6CFF507D-B72C-47BC-B52A-F4837A119770}
-10209780.5685,5156586.9595,500008,20160918452,1549099,20160918452,19,F,IA,77,-77.0,77,77,1,1,99,77,3,77,2001,Honda,NR,NR,IA,1,2,77,77,77,77,77,777,1,28,77,77,5,71,2,8,1,,0,2016,606386,4647317,,,,,,,2024/08/09 13:53:33+00,,{62804050-6E82-4BA4-AA18-C190E825C205}
-10343568.9371,5167424.5053,500009,20160917920,1548159,20160917920,200,NR,XX,77,-77.0,77,77,99,1,40,77,2,1,2016,Chevrolet,SILVERADO,PICKUP,IL,1,1,33,77,77,77,33,25,4,28,12,4,4,7,1,8,12,,0,2016,506798,4654555,,,,,,,2024/08/09 13:53:33+00,,{92E7BD0A-5DF2-477A-A819-BC011416139C}
-10343568.9371,5167424.5053,500010,20160917920,1548160,20160917920,87,M,IA,77,-77.0,1,77,1,1,88,77,4,1,2009,Chrysler,TNC,VN,IA,2,1,33,77,77,77,33,25,4,28,99,5,4,7,1,8,12,,0,2016,506798,4654555,,,,,,,2024/08/09 13:53:33+00,,{38BB6E92-471F-478F-9163-5ACC6792E917}
