Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
20251466685,MC2500265,01/25/2025,01-January,7-Saturday,06:05,0600 Hours,District 2 (Northeast),MASON CITY,CERRO GORDO,77,2ND ST NE,Collision with:  Parked motor vehicle,Roadside,Other (explain in narrative),Other (explain in narrative):  Other,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,1,Southbound (SB),POINT (-93.195461603089 43.153648761387)
20251465695,CL2500074,01/25/2025,01-January,7-Saturday,09:14,0900 Hours,District 2 (Northeast),VENTURA,CERRO GORDO,US 18,US 18 E EAST OF N MAIN ST,Non-collision events:  Overturn/rollover,Shoulder,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,10000,1,1,Southbound (SB),POINT (-93.473615288301 43.130233324167)
20251465647,25-01087,01/25/2025,01-January,7-Saturday,15:15,1500 Hours,District 3 (Northwest),,PLYMOUTH,77,K42 AND C38,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Ran Stop Sign,Refused,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,14000,1,1,Southbound (SB),POINT (-96.27248801921 42.749675024184)
20251465913,2500271,01/25/2025,01-January,7-Saturday,11:12,1100 Hours,District 1 (Central),AMES,STORY,77,DOUGLAS AVE,Collision with:  Vehicle in traffic,On Roadway,Rear to side,Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,3,Northbound (NB),POINT (-93.612113295165 42.026286431507)
20251466644,202500000776,01/25/2025,01-January,7-Saturday,18:28,1800 Hours,District 1 (Central),WEBSTER CITY,HAMILTON,77,3RD ST,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),"Operating vehicle in an reckless, erratic, careless, negligent manner",Alcohol (Statutory),None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,Southbound (SB),POINT (-93.837637841865 42.470524124772)
20251465653,25-000840,01/25/2025,01-January,7-Saturday,21:13,2100 Hours,District 2 (Northeast),,CLAYTON,US 52,US 52 N,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,15000,1,1,Northbound (NB),POINT (-91.201223928105 42.831980618357)
20251465852,25-000491,01/25/2025,01-January,7-Saturday,03:46,0300 Hours,District 2 (Northeast),,,77,STATE LINE ST,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Ran Stop Sign,None Indicated,None apparent,Dark - roadway not lighted,Ice/frost,Clear,None apparent,Intersection:  T-intersection,Unpaved,,Possible/Unknown,0,1,0,0,1,0,15000,1,1,Southbound (SB),POINT (-92.828460679811 43.499921920657)
20251465604,202500000978,01/25/2025,01-January,7-Saturday,22:53,2200 Hours,District 6 (East Central),MARION,LINN,IA-100,4000 BLK HWY 100,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,Dark - roadway not lighted,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2500,1,1,Westbound (WB),POINT (-91.568673084659 42.01960608859)
20251465648,25-571,01/25/2025,01-January,7-Saturday,07:36,0700 Hours,District 2 (Northeast),,ALLAMAKEE,77,SOUTH RD DR,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,None apparent,Daylight,Snow,Clear,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Unpaved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,Southbound (SB),POINT (-91.295176693479 43.344812075688)
20251465672,2020002112,01/25/2025,01-January,7-Saturday,15:54,1500 Hours,District 5 (Southeast),,DAVIS,IA-2,BALSA AVE AND IA 2 E MEASURING 1443 FEET WEST FROM IA 2 E,Collision with:  Non-motorist (see non-motorist section - NOT a unit),On Roadway,Non-collision (single vehicle),Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Major Injury,0,1,1,0,0,0,25000,1,1,Southbound (SB),POINT (-92.619157508067 40.725469147602)
